"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1a_forestArea","1a_otherWoodedLand","1a_landArea","1b_naturallyRegeneratingForest","1b_plantedForest","1b_plantationForest","1b_plantationForestIntroduced","1b_otherPlantedForest","1c_primary","1c_tempUnstocked","1c_bamboos","1c_mangroves","1c_rubber","1f_palms","1f_treeOrchards","1f_agroforestry","1f_treesUrbanSettings","1f_other","2a_gs_ha_nat_reg","2a_gs_ha_planted","2a_gs_ha_plantation","2a_gs_ha_other_planted","2a_gs_ha_forest","2a_gs_ha_owl","2a_gs_tot_nat_reg","2a_gs_tot_planted","2a_gs_tot_plantation","2a_gs_tot_other_planted","2a_gs_tot_forest","2a_gs_tot_owl","2b_native_#1","2b_native_#2","2b_native_#3","2b_native_#4","2b_native_#5","2b_native_#6","2b_native_#7","2b_native_#8","2b_native_#9","2b_native_#10","2b_native_remaining","2b_native_total","2b_introduced_#1","2b_introduced_#2","2b_introduced_#3","2b_introduced_#4","2b_introduced_#5","2b_introduced_remaining","2b_introduced_total","2b_total_gs","2c_agb","2c_bgb","2c_dwb","2d_carbon_agb","2d_carbon_bgb","2d_carbon_dw","2d_carbon_litter","2d_carbon_soil","2d_soil_depth_cm","3a_prim_prod","3a_prim_prot","3a_prim_biodiv","3a_prim_socserv","3a_prim_multi","3a_prim_other","3a_prim_no_unknown","3a_tot_prod","3a_tot_prot","3a_tot_biodiv","3a_tot_socserv","3a_tot_other","3b_protected","3b_forMngt","3b_mngtProt","4a_priv_own","4a_individ","4a_bus_inst_fo","4a_indigenous_fo","4a_pub_own","4a_fo_unknown","4b_pub_admin","4b_individuals","4b_bus_inst_mr","4b_indigenous_mr","4b_unknown","5c_y_n","6a_policies_national","6a_policies_sub_national","6a_legislation_national","6a_legislation_sub_national","6a_platform_national","6a_platform_sub_national","6a_traceability_national","6a_traceability_sub_national","6b_pfe_y_n","6b_pfe_area","7a_employment_tot","7a_employment_fem","7a_employment_male","7a_emp_forestry_tot","7a_emp_forestry_fem","7a_emp_forestry_male","7a_emp_logging_tot","7a_emp_logging_fem","7a_emp_logging_male","7a_emp_nwfp_tot","7a_emp_nwfp_fem","7a_emp_nwfp_male","7a_emp_support_tot","7a_emp_support_fem","7a_emp_support_male","7b_phd_tot","7b_phd_fem","7b_phd_male","7b_msc_tot","7b_msc_fem","7b_msc_male","7b_ba_tot","7b_ba_fem","7b_ba_male","7b_tech_tot","7b_tech_fem","7b_tech_male","7b_total_tot","7b_total_fem","7b_total_male"
"Africa","DZA","Algeria",2000,0,0,0,100,"1579.00","2374.00",238174,"1234.00","345.00","0.00","0.00","345.00","0.00","1.00","0.00","0.00","0.00","212.00","495.00",,,,"44.15","46.30","0.00","46.30","44.6168461051298290057","3.70","54.4811","15.9735","0","15.9735","70.45","8.7838","46.00","2.00","1.10","0.86","5.00","2.00",,,,,"13.49","70.45",,,,,,,,"70.45","29.16","10.69",,"13.70","5.03",,,"38.00","30.00","562.00","842.00","173.00","2.00","0.00","0.00","0",,"1017.00",,,,"119.00",,,"371.00",,,,"1208.00","0","1208.00","0.00","0.00","0.00","0","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1492.00","49.00","9.00","40.00","13.00","3.00","10.00","10.00","0.00","10.00","16.00","6.00","10.00","10.00","0.00","10.00",,,,,,,,,,,,,,,
"Africa","DZA","Algeria",2010,0,0,0,100,"1918.00","2457.00",238174,"1420.00","498.00","0.00","0.00","498.00","0.00","2.00","0.00","0.00","0.00","247.00","489.00",,,,"44.15","46.30","0.00","46.30","44.7080291970802919708","3.70","62.693","23.0574","0","23.0574","85.75","9.0909","53.00","1.57","1.51","0.81","6.10","1.90",,,,,"20.86","85.75",,,,,,,,"85.75","29.38","10.71",,"13.81","5.03",,,"38.00","30.00","527.00","790.00","173.00","2.80",,,"425.2",,"1392.00",,,,"119.00","152.00",,"361.00",,,,"1557.00","0","1557.00","0.00","0.00","0.00","0","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1492.00","59.00","11.00","48.00","18.00","3.00","15.00","10.00","0.00","10.00","21.00","8.00","13.00","10.00","0.00","10.00",,,,,,,,,,,,,,,
"Africa","DZA","Algeria",2015,0,0,0,100,"1956.00","2569.00",238174,"1400.00","556.00","0.00","0.00","556.00","0.00","1.00","0.00","0.00","0.00","230.00","485.00",,,,"44.15","46.30","0.00","46.30","44.75971370143149284254","3.70","61.81","25.7428","0","25.7428","87.55","9.5053",,,,,,,,,,,,,,,,,,,,,"29.51","10.71",,"13.87","5.04",,,"38.00","30.00","526.00","780.00","470.00","1.50",,,"178.5",,"1430.00",,,,"119.00","152.00",,"361.00",,,,"1557.00","38","1557.00","0.00","0.00","0.00","0","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1918.00","62.00","10.00","52.00","18.00","3.00","15.00","10.00","0.00","10.00","22.00","7.00","15.00","12.00","0.00","12.00",,,,,,,,,,,,,,,
"Africa","DZA","Algeria",2020,0,0,0,100,"1949.00","2590.00",238174,"1439.00","510.00","0.00","0.00","510.00","0.00","1.00","0.00","0.00","0.00","232.00","487.00",,,,"44.15","46.30","0.00","46.30","44.710107747562852745","3.70","63.53185","23.613","0","23.613","87.14","9.583",,,,,,,,,,,,,,,,,,,,,"29.39","10.71",,"13.81","5.03",,,"38.00","30.00","526.00","785.00","465.00","1.60",,,"171.4",,"1430.00",,,,"119.00","264.00",,,,,,,,,,,,,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1918.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South America, International Tropical Timber Organization","ECU","Ecuador",1990,0,0,100,0,"14632.21000000000000000000","732.02000000000000000000",24836,"14587.77","44.43","44.43",,"0.00",,,,"163.00",,,,,,,"193.19","304.99","304.99",,"193.52",,"2818.2112863","13.5507057","13.5507057","0.00","2831.6252792",,,,,,,,,,,,,,,,,,,,,,"177.02","44.01","32.25","88.51","22.00","16.12","2.77",,,"44.44","0.00","2523.93","0.00","1943.62","0.00","10120.22","1181.44","3329.57","3329.57",,,"2523.93","3329.57","2523.93","47.71","23.82","9.51","3.65","4419.84","10164.66","4419.84","0.00","0.00","0.00","0","no","yes","yes","yes","yes","no","no","yes","no","yes","2523.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South America, International Tropical Timber Organization","ECU","Ecuador",2000,0,0,100,0,"13730.50000000000000000000","634.57000000000000000000",24836,"13660.35","70.15","70.15",,"0.00",,"372.01",,"150.00",,,,,,,"193.19","304.99","304.99",,"193.76",,"2639.0430165","21.3950485","21.3950485","0.00","2660.42168",,,,,,,,,,,,,,,,,,,,,,"177.02","44.01","32.25","88.51","22.00","16.12","2.77",,,"70.15","0.00","3101.99","0.00","2057.73","0.00","8500.63","1032.15","4197.34","4197.34",,,"3101.99","4197.34","3101.99","140.09","26.66","97.08","2.54","5017.08","8573.33","5017.08","0.00","0.00","0.00","0","no","yes","yes","yes","yes","no","no","yes","no","yes","3101.99",,,,,,,,,,,,,,,,"0","0","0","4","0","4","647","143","504","71","20","51",,,
"South America, International Tropical Timber Organization","ECU","Ecuador",2010,0,0,100,0,"13028.19","661.87",24836,"12943.37","84.82","84.82",,"0.00",,"232.12",,"154.81",,,,,,,"193.18925442137557683973","304.99","304.99",,"193.92",,"2500.52","25.8692518","25.8692518","0.00","2526.4266048",,,,,,,,,,,,,,,,,,,,,,"177.02","44.01","32.25","88.51","22.00","16.12","2.77",,,"84.82","0.00","4294.71","0.00","2041.98","0.00","6606.68","920.20","5523.24","5523.24",,,"3186.49","5523.24","3186.49","146.90","29.09","90.39","6.30","4815.96","8065.33","4815.96","0.00","0.00","0.00","0","no","yes","yes","yes","yes","no","no","yes","no","yes","4294.71",,,,,,,,,,,,,,,,"1","1","0","10","0","10","527","144","383","24","4","20",,,
"South America, International Tropical Timber Organization","ECU","Ecuador",2015,0,0,100,0,"12819.18","786.00",24836,"12692.28","126.89","126.89",,"0.00",,"134.08","16.14","154.47","6.22","334.75",,,,,"193.19","304.98857277957285838128","304.99",,"194.30",,"2452.0215732","38.70","38.7001811","0.00","2490.766674",,,,,,,,,,,,,,,,,,,,,,"177.02","44.01","32.25","88.51","22.00","16.12","2.77",,,"126.89","0.00","4368.93","0.00","1981.58","0.00","6341.78","784.38","5678.11","5678.11",,,"3268.63","5678.11","3268.63","149.51","31.68","87.79","9.30","4841.24","7828.43","4841.24","0.00","0.00","0.00","0","no","yes","yes","yes","yes","no","no","yes","no","yes","4368.93",,,,,,,,,,,,,,,,"42","16","26","91","33","58","608","190","418","37","10","27",,,
"South America, International Tropical Timber Organization","ECU","Ecuador",2020,0,0,100,0,"12497.83","668.28",24836,"12386.79","111.01","111.01",,"0.00",,,,"154.31",,,,,,,"193.19","304.99","304.99",,"194.18",,"2393.0039601","33.8569399","33.8569399","0.00","2426.8286294",,,,,,,,,,,,,,,,,,,,,,"177.02","44.01","32.25","88.51","22.00","16.12","2.77",,,"111.01","0.00","4366.94","0.00","2039.43","0.00","5980.45","75601.00","5737.55","5737.55",,,"3258.67","5737.55","3258.67",,,,,,,,,,,,"no","yes","yes","yes","yes","no","no","yes","no","yes","4366.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","EGY","Egypt",1990,0,0,18,82,"43.81","0.00",99545,"0.00","43.81","0.00","0.00","43.81",,,,"0.39",,,,,,,"0.00","120.00","0.00","120.00","120.00",,"0","5.2572","0","5.2572","5.2572","0.00",,,,,,,,,,,,,,,,,,,,,"120.00","34.20",,"56.40","16.07",,,,,,,,,,,"43.81",,,,,,,,,,,,,,"43.81",,,,,,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","EGY","Egypt",2000,0,0,18,82,"59.21","0.00",99545,"0.00","59.21","0.00","0.00","59.21",,,,"0.39",,,,,,,"0.00","120.00","0.00","120.00","120.00",,"0","7.1052","0","7.1052","7.1052","0.00",,,,,,,,,,,,,,,,,,,,,"120.00","34.20",,"56.40","16.07",,,,,,,,,,,"59.21",,,,,,,,,,,,,,"59.21",,,,,,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","EGY","Egypt",2010,0,0,18,82,"65.64","0.00",99545,"0.00","65.64","0.00","0.00","65.64",,,,"0.39",,,,,,,"0.00","120.00","0.00","120.00","120.00",,"0","7.8768","0","7.8768","7.8768","0.00",,,,,,,,,,,,,,,,,,,,,"120.00","34.20",,"56.40","16.07",,,,,,,,,,,"65.64",,,,,,,,,,,,,,"65.64",,,,,,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","EGY","Egypt",2015,0,0,18,82,"48.42","0.00",99545,"0.00","48.42","0.00","0.00","48.42",,,,"0.50",,,,,"739.80",,"0.00","120.00","0.00","120.00","120.00",,"0","5.8104","0","5.8104","5.8104","0.00",,,,,,,,,,,,,,,,,,,,,"120.00","34.20",,"56.40","16.07",,,,,,,,,,,"48.42",,,,,,,,,,,,,,"48.42",,,,,,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","EGY","Egypt",2020,0,0,18,82,"44.98","0.00",99545,"0.00","44.98","0.00","0.00","44.98",,,,"0.50",,,,,"739.80",,"0.00","120.00","0.00","120.00","120.00",,"0","5.3976","0","5.3976","5.3976","0.00",,,,,,,,,,,,,,,,,,,,,"120.00","34.20",,"56.40","16.07",,,,,,,,,,,"44.98",,,,,,,,,,,,,,,,,,,,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ERI","Eritrea",1990,0,0,100,0,"1150.06","5954.86",10100,"1140.06","10.00","0.00","0.00","10.00","0.00",,,"6.40","0.00",,,,,,"27.00","61.00","61.00","61.00","27.29422812722814461854",,"30.78162","0.61","0","0.61","31.39",,,,,,,,,,,,,,,,,,,,,,"71.65","19.85",,"33.67","9.33",,,,,,,,,,,"1150.06",,,,,,,,,,,,,,"1150.06",,,,,,,"yes","no","yes","no","yes","no","yes","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ERI","Eritrea",2000,0,0,100,0,"1118.46","5954.86",10100,"1097.46","21.00","6.00","4.00","15.00","0.00",,,"6.40","0.00",,,,,,"27.00","61.00","61.00","61.00","27.63621408007438799778",,"29.63142","1.281","0.366","0.915","30.91",,,,,,,,,,,,,,,,,,,,,,"71.92","19.93",,"33.80","9.37",,,,,,,,,,,"1118.46",,,,,,,,,,,,,,"1118.46",,,,,,,"yes","no","yes","no","yes","no","yes","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ERI","Eritrea",2010,0,0,100,0,"1086.86","5954.86",10100,"1058.36","28.50","8.50","6.50","20.00","0.00",,,"6.40","0.00",,,,,,"27.00","61.00","61.00","61.00","27.88767642566659919401",,"28.57572","1.7385","0.5185","1.22","30.31",,,,,,,,,,,,,,,,,,,,,,"72.12","19.99",,"33.90","9.39",,,,,,,,,,,"1086.86",,,,,,"107.00",,,,,,,,"1086.86",,,,,,,"yes","no","yes","no","yes","no","yes","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ERI","Eritrea",2015,0,0,100,0,"1071.06","5954.86",10100,"1032.46","38.60","14.60","11.00","24.00","0.00",,,"6.40","0.00",,,,,,"27.00","61.00","61.00","61.00","28.22437585195974081751",,"27.87642","2.3546","0.8906","1.464","30.23",,,,,,,,,,,,,,,,,,,,,,"72.38","20.06",,"34.02","9.43",,,,,,,,,,,"1071.06",,,,,,"107.00",,,,,,,,"1071.06",,,,,,,"yes","no","yes","no","yes","no","yes","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ERI","Eritrea",2020,0,0,100,0,"1055.26","5954.86",10100,"1011.86","43.40","16.40","14.00","27.00","0.00",,,"6.40","0.00",,,,,,"27.00","61.00","61.00","61.00","28.400583742395239088",,"27.32022","2.6474","1.0004","1.647","29.97",,,,,,,,,,,,,,,,,,,,,,"72.52","20.10",,"34.08","9.45",,,,,,,,,,,"1055.26",,,,,,"107.00",,,,,,,,,,,,,,,"yes","no","yes","no","yes","no","yes","no","no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ESH","Western Sahara",1990,0,0,100,0,"665.10","0.00",26600,"665.10","0.00","0.00","0.00","0.00",,,,"0.00","0.00",,,,,,"24.30","0.00","0.00","0.00","24.30",,"16.16193","0","0","0","16.16193","0.00",,,,,,,,,,,,,,,,,,,,,"33.52","10.03","0.21","16.76","5.02","0.10","2.61","21.73","30.00",,,,,,,"665.1",,,,,,,,,,,,,,"665.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ESH","Western Sahara",2000,0,0,100,0,"669.31","0.00",26600,"669.31","0.00","0.00","0.00","0.00",,,,"0.00","0.00",,,,,,"26.46","0.00","0.00","0.00","26.46",,"17.7099426","0","0","0","17.7099426","0.00",,,,,,,,,,,,,,,,,,,,,"37.07","11.17","0.21","18.53","5.59","0.10","2.63","21.73","30.00",,,,,,,"669.31",,,,,,,,,,,,,,"669.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ESH","Western Sahara",2010,0,0,100,0,"665.11","0.00",26600,"665.11","0.00","0.00","0.00","0.00",,,,"0.00","0.00",,,,,,"27.07","0.00","0.00","0.00","27.07",,"18.0045277","0","0","0","18.0045277","0.00",,,,,,,,,,,,,,,,,,,,,"39.23","11.94","0.21","19.61","5.97","0.10","2.68","21.73","30.00",,,,,,,"665.11",,,,,,,,,,,,,,"665.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ESH","Western Sahara",2015,0,0,100,0,"664.70","0.00",26600,"664.70","0.00","0.00","0.00","0.00",,,,"0.00","0.00",,,,,,"27.12","0.00","0.00","0.00","27.12",,"18.026664","0","0","0","18.026664","0.00",,,,,,,,,,,,,,,,,,,,,"39.63","12.12","0.20","19.82","6.06","0.10","2.69","21.72","30.00",,,,,,,"664.7",,,,,,,,,,,,,,"664.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ESH","Western Sahara",2020,0,0,100,0,"665.07","0.00",26600,"665.07","0.00","0.00","0.00","0.00",,,,"0.00","0.00",,,,,,"27.10","0.00","0.00","0.00","27.10",,"18.023397","0","0","0","18.023397","0.00",,,,,,,,,,,,,,,,,,,,,"39.89","12.25","0.21","19.95","6.13","0.10","2.72","21.72","30.00",,,,,,,"665.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain",1990,0,32,0,68,"13904.66","12079.40",49966.1,"11959.48","1945.19","758.54","700.67","1186.65",,,"0.00","0.00","0.00",,,,,,"36.204751377150177098","65.39206966928680488795","93.13945210536029741345","47.65516369611932751864","40.28721306382176910475","0.1448747454343758796","432.99","127.20","70.65","56.55","560.18","1.75","85.71","103.98","36.02","42.07","50.66","30.23","16.83","17.90","16.16","12.90","85.25","497.71","22.07","33.56",,"1.09","0.37","5.37","62.46","560.17",,,,,,,,,,"1269.19","2861.71","1200.42","0.00","8573.33","0.00","0.01",,"3260.19","1341.76",,,"1341.76",,,"9545.32","9373.36","0.00","171.96","4359.34","0","4359.34","0.00","0.00","0.00","0","no","yes","yes","yes","yes","yes","yes","no","no","yes","13904.66","29.01","3.40","26.71",,,,,,,,,,,,,"8","3","5","61","17","44","79","16","63","74","2","72",,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain",2000,0,32,0,68,"17093.93","10431.42",49966.1,"14702.58","2391.34","932.52","861.37","1458.82",,,"0.00","0.00","0.00",,,,,,"47.60865099866826094468","86.18180601671029631922","123.04","62.62","53.00419505637381222457","0.17063832153244716443","699.97","206.09","114.7372608","91.3513084","906.05","1.78","137.64","134.85","73.48","67.13","66.70","54.48","38.54","28.05","24.53","21.37","121.77","768.54","62.11","52.40","9.40","4.55","1.67","7.40","137.53","906.07",,,,,,,,,,"3495.44","3370.42","1975.24","0.00","8252.84","0.00","-0.01",,"4328.99","2350.37",,,"2350.37",,,"11205.96","10906.64","0.00","299.33","4962.44","925.53","4962.44","0.00","0.00","0.00","0","no","yes","yes","yes","yes","yes","yes","no","no","yes","17093.93","34.94","2.19","32.75",,,,,,,,,,,,,"11","4","7","341","138","203","565","205","360","869","168","701",,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain",2010,0,32,0,68,"18545.34","9250.07",49966.1,"15948.85","2596.49","1015.00","938.12","1581.49",,,"0.00","0.00","0.00","9.85","3686.19",,,,"50.35848979707000818241","89.42071796925849897361","128.73","64.19","55.82750167966723716039","0.21080921549782866508","803.16","232.18","130.66095","101.5158431","1035.34","1.95","157.26","155.72","84.68","77.02","75.33","62.64","43.65","32.45","28.35","24.59","139.11","880.8","71.32","56.67","10.71","5.26","1.68","8.91","154.55","1035.35","53.49","21.94",,"26.15","10.68",,,,,"3412.25","3395.77","3499.45","0.00","8237.87","0.00","0","4178.08","4608.70","3499.45",,,"7360.79",,,"12944.06","12608.18","0.00","335.88","5369.56","231.72","5369.56","0.00","0.00","0.00","0","no","yes","yes","yes","yes","yes","yes","no","no","yes","18545.34","30.77","3.31","27.46",,,,,,,,,,,,,"19","7","12","404","157","247","667","248","419","1890","308","1582",,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain",2015,0,32,0,68,"18551.18","9403.94",49966.1,"15931.65","2619.53","1016.68","939.36","1602.85",,,"0.00","0.00","0.00","9.51","3745.50",,,,"50.99346269846500519406","94.30699400274094971235","135.65","68.08497364070249867424","57.10957470090851363633","0.22437403896664589523","812.41","247.04","137.912642","109.13","1059.45","2.11","161.65","156.95","85.45","78.35","78.32","63.47","45.25","32.58","28.51","24.91","142.35","897.79","72.13","62.82","10.96","5.26","2.04","8.43","161.64","1059.43","54.40","22.24","2.22","26.60","10.83","1.09","3.06",,,"3548.41","3270.72","4115.68","0.00","7616.37","0.00","0","4487.79","4642.51","4115.68",,,"7400.43",,,"13259.64","12831.17","0.00","428.47","5255.26","36.28","5255.26","0.00","0.00","0.00","0","no","yes","yes","yes","yes","yes","yes","no","no","yes","18551.18","25.70","2.30","23.40",,,,,,,,,,,,,"45","27","18","318","120","198","576","207","369","2522","321","2201",,,
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain",2020,0,32,0,68,"18572.17","9381.82",49966.1,"15982.08","2590.10","1004.30","926.50","1585.80",,,"0.00","0.00","0.00","9.57","3867.20",,,,"53.66135071279833413423","96.99625497085054631095","138.39490192173653290849","70.78","59.70492408803063939217",,"857.62","251.23","138.99","112.242924","1108.85",,"162.14","157.21","85.91","78.57","78.80","63.75","45.42","32.71","28.61","24.97","187.65","945.74","72.99","63.20","11.08","5.32","2.10","8.44","163.13","1108.87","55.87","22.83",,"27.32","11.12",,,,,"3552.43","3274.42","4120.33","0.00","7624.99","0.00","0","4492.87","4647.77","4120.33",,,,,,,,,,,,,,,,,"no","yes","yes","yes","yes","yes","yes","no","no","yes","18572.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia",1990,0,100,0,0,"2205.90","196.23",4347,"2010.73","195.17","6.14","1.92","189.03","39.60","117.44","0.00","0.00","0.00","0.00","9.20",,,,"180.87958104767920108617","150.53543065020238766204","99.34853420195439739414","152.67417870179336613236","178.29457364341085271318","32.1051826937777098303","363.70","29.38","0.61","28.86","393.30","6.30","111.40","87.50","96.80","31.80","32.20","17.60","5.30","4.10","2.40","1.00","2.78","392.88","0.39","0.03",,,,,"0.42","393.3","101.94","24.02","2.41","47.91","11.29","1.13",,"155.97","55.00","1628.71","153.29","126.90","0.00","297.00","0.00","0","2079.00","153.29","576.90",,,"127.00","1916.00","127.00","0.00","0.00","0.00","0.00","2205.90","0","2205.90","0.00","0.00","0.00","0","no","yes","no","yes","no","yes","no","yes","no","yes","907.00","10.00","2.08","7.92",,,,,,,,,,,,,,,,,,,"34","12","22","71","9","62","105","21","84"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia",2000,0,100,0,0,"2238.89","153.71",4347,"2040.80","198.09","6.23","1.95","191.86","56.70","160.72","0.00","0.00","0.00","0.00","8.46",,,,"197.74108192865542924343","126.76056338028169014085","105.93900481540930979133","127.4366725737516939435","191.4609471657830442764","44.49938195302843016069","403.55","25.11","0.66","24.45","428.66","6.84","129.44","110.87","93.74","34.56","32.60","17.78","3.48","1.58","1.44","0.43","2.32","428.24","0.39","0.03",,,,,"0.42","428.66","109.47","25.79","2.43","50.98","12.01","1.14",,"155.97","55.00","1741.85","256.04","137.00","0.00","104.00","0.00","0","2101.89","256.04","497.00",,,"141.00","1230.00",,"951.25","791.55","159.71","0.00","897.35","390.29","896.35","1.00","0.00","0.00","0","no","yes","no","yes","no","yes","no","yes","no","yes","907.00","9.17","1.00","8.17",,,,,,,,,,,,,"1",,"1","2","1","1","27","5","22","64","2","62","94","8","86"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia",2010,0,100,0,0,"2336.02","108.04",4347,"2129.34","206.68","6.50","2.03","200.18","59.16","148.32","0.00","0.00","0.00","0.00","4.58",,,,"201.53662637249100660298","130.44319721308302690149","107.69230769230769230769","131.18193625736836846838","195.24661603924623933014","40.63309885227693446872","429.14","26.96","0.70","26.26","456.10","4.39","144.62","117.17","98.87","34.50","30.19","18.92","3.90","2.49","2.22","0.87","1.85","455.6","0.39","0.11",,,,,"0.5","456.1","111.64","26.30","3.65","52.47","12.36","1.71",,"155.97","55.00","1702.97","136.38","260.21","0.00","236.46","0.00","0","2075.81","162.25","633.05",,,"486.09","1650.90","157.60","1058.50","799.76","258.74","0.00","931.24","346.28","930.24","1.00","0.00","0.00","0","no","yes","no","yes","no","yes","no","yes","no","yes","907.00","5.60","0.58","5.02",,,,,,,,,,,,,"3","1","2","22","4","18","50","4","46","38","2","36","113","11","102"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia",2015,0,100,0,0,"2421.01","99.90",4347,"2206.80","214.20","6.74","2.11","207.46","51.43","171.39","0.00","0.00","0.00","0.00","3.60",,,,"209.67464201558818198296","135.71428571428571428571","112.75964391691394658754","136.46004048973296057071","203.13093762907889301941","44.24424424424424424424","462.71","29.07","0.76","28.31","491.78","4.42","153.22","126.43","110.31","34.30","31.51","21.98","4.04","3.21","2.55","0.82","2.99","491.36","0.31","0.11",,,,,"0.42","491.78","116.14","27.36","4.05","54.59","12.86","1.91",,"155.97","55.00","1777.09","113.88","310.52","0.00","219.52","0.00","0","2110.49","136.99","643.92",,,"498.34","1544.16",,"1133.33","732.62","400.71","0.00","1176.85","110.83","1175.85","1.00","0.00","0.00","0","no","yes","no","yes","no","yes","no","yes","no","yes","907.00","7.09","1.01","6.08",,,,,,,,,,,,,"3","1","2","19","3","16","33","4","29","35","6","29","90","14","76"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia",2020,0,100,0,0,"2438.40","94.44",4347,"2222.66","215.74","6.79","2.12","208.95","52.09","181.24","0.00","0.00","0.00","0.00","3.60",,,,"209.18179118713613418157","135.39445628997867803838","111.92930780559646539028","136.15697535295525245274","202.65337926509186351706","42.14315967810249894113","464.94","29.21","0.76","28.45","494.15","3.98","150.95","127.26","112.07","32.93","32.91","22.37","4.07","3.27","2.89","0.91","4.15","493.78","0.24","0.13",,,,,"0.37","494.15","115.87","27.30","3.98","54.46","12.83","1.87",,"155.97","55.00","1776.35","110.88","332.36","0.00","218.81","0.00","0","2106.04","137.47","662.05",,,"532.41","1690.02","284.64",,,,,,,,,,,,"no","yes","no","yes","no","yes","no","yes","no","yes","907.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ETH","Ethiopia",1990,0,0,100,0,"19258.50","22394.30",111971.55,"18918.89","339.61","271.69","217.35","67.92",,,,"0.00",,,,,,,"131.70","72.40","72.40","72.40","130.65451618765739803204","7.40","2491.617813","24.587764","19.670356","4.917408","2516.21","165.71782",,,,,,,,,,,,,,,,,,,,,"124.15","30.10","33.04","58.35","14.15","15.53",,,,,,,,,,"19258.5",,,,,,,,,,,,,,"19258.5",,,,,,"no","yes","yes","yes","yes","yes","yes","yes","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Africa","ETH","Ethiopia",2000,0,0,100,0,"18528.50","22394.30",111971.55,"18188.89","339.61","271.69","217.35","67.92",,,,"0.00",,,,,,,"131.70","72.40","72.40","72.40","130.61283967941279650269","7.40","2395.476813","24.587764","19.670356","4.917408","2420.06","165.71782",,,,,,,,,,,,,,,,,,,,,"124.11","30.10","33.02","58.33","14.15","15.52",,,,,,,,,,"18528.5",,,,,,,,,,,,,,"18528.5",,,,,,"no","yes","yes","yes","yes","yes","yes","yes","yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
