"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"UNECE, Asia","AZE","Azerbaijan","2015-2020",0,71,0,29,"100.52","95.52","5.00","86.36","60.00"
"Espace COMIFAC, Africa","BDI","Burundi","1990-2000",0,0,100,0,"0.00","0.00","0.00","8.25","0.00"
"Espace COMIFAC, Africa","BDI","Burundi","2000-2010",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"Espace COMIFAC, Africa","BDI","Burundi","2010-2015",0,0,100,0,"17.14","17.14","0.00","0.00","0.00"
"Espace COMIFAC, Africa","BDI","Burundi","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, Europe, UNECE","BEL","Belgium","1990-2000",0,100,0,0,,,,,
"International Tropical Timber Organization, FOREST EUROPE, EU-27, Europe, UNECE","BEL","Belgium","2000-2010",0,100,0,0,,,,,
"International Tropical Timber Organization, FOREST EUROPE, EU-27, Europe, UNECE","BEL","Belgium","2010-2015",0,100,0,0,"1.70","1.00","0.70","1.81","3.35"
"International Tropical Timber Organization, FOREST EUROPE, EU-27, Europe, UNECE","BEL","Belgium","2015-2020",0,100,0,0,"1.50",,"1.50","1.50","3.35"
"International Tropical Timber Organization, Africa","BEN","Benin","1990-2000",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","BEN","Benin","2000-2010",0,0,100,0,,,,,"7.00"
"International Tropical Timber Organization, Africa","BEN","Benin","2010-2015",0,0,100,0,,,,,"6.00"
"International Tropical Timber Organization, Africa","BEN","Benin","2015-2020",0,0,100,0,,,,,"8.00"
"North and Central America","BES","Bonaire, Sint Eustatius and Saba","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","BES","Bonaire, Sint Eustatius and Saba","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","BES","Bonaire, Sint Eustatius and Saba","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","BES","Bonaire, Sint Eustatius and Saba","2015-2020",0,0,100,0,,,,,"0.00"
"Africa","BFA","Burkina Faso","1990-2000",0,0,100,0,,,,,"6.02"
"Africa","BFA","Burkina Faso","2000-2010",0,0,100,0,,,,,"11.93"
"Africa","BFA","Burkina Faso","2010-2015",0,0,100,0,,,,,"9.64"
"Africa","BFA","Burkina Faso","2015-2020",0,0,100,0,,,,,"13.21"
"Asia","BGD","Bangladesh","1990-2000",0,0,100,0,"7.50","7.50","0.00","7.50","0.00"
"Asia","BGD","Bangladesh","2000-2010",0,0,100,0,"0.00","0.00","0.00","3.20","0.00"
"Asia","BGD","Bangladesh","2010-2015",0,0,100,0,"17.20","0.00","0.00","18.19","0.00"
"Asia","BGD","Bangladesh","2015-2020",0,0,100,0,"0.00","0.00","0.00","0.00","0.00"
"UNECE, FOREST EUROPE, Europe, International Tropical Timber Organization, EU-27","BGR","Bulgaria","1990-2000",0,98,0,2,"4.80","2.90","1.90","0.00","126.59"
"UNECE, FOREST EUROPE, Europe, International Tropical Timber Organization, EU-27","BGR","Bulgaria","2000-2010",0,98,0,2,"36.20","2.94","33.26","0.00","55.78"
"UNECE, FOREST EUROPE, Europe, International Tropical Timber Organization, EU-27","BGR","Bulgaria","2010-2015",0,98,0,2,"19.20","0.40","18.80","0.00","7.11"
"UNECE, FOREST EUROPE, Europe, International Tropical Timber Organization, EU-27","BGR","Bulgaria","2015-2020",0,98,0,2,"12.00","0.10","11.90","0.00","11.44"
"Asia","BHR","Bahrain","1990-2000",0,0,0,100,"0.02","0.02","0.00","0.01",
"Asia","BHR","Bahrain","2000-2010",0,0,0,100,"0.02","0.02","0.00","0.01",
"Asia","BHR","Bahrain","2010-2015",0,0,0,100,"0.02","0.02","0.00","0.00",
"Asia","BHR","Bahrain","2015-2020",0,0,0,100,"0.02","0.02","0.00","0.00",
"North and Central America","BHS","Bahamas","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","BHS","Bahamas","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","BHS","Bahamas","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","BHS","Bahamas","2015-2020",0,0,100,0,,,,,"0.00"
"Europe, UNECE, FOREST EUROPE","BIH","Bosnia and Herzegovina","1990-2000",0,94,0,6,,,,,
"Europe, UNECE, FOREST EUROPE","BIH","Bosnia and Herzegovina","2000-2010",0,94,0,6,,"0.86",,,"2.73"
"Europe, UNECE, FOREST EUROPE","BIH","Bosnia and Herzegovina","2010-2015",0,94,0,6,,"0.46",,,"1.56"
"Europe, UNECE, FOREST EUROPE","BIH","Bosnia and Herzegovina","2015-2020",0,94,0,6,,"0.42",,,"2.58"
"North and Central America","BLM","Saint Barthélemy","1990-2000",0,0,100,0,,"0.00",,,"0.00"
"North and Central America","BLM","Saint Barthélemy","2000-2010",0,0,100,0,,"0.00",,,"0.00"
"North and Central America","BLM","Saint Barthélemy","2010-2015",0,0,100,0,,"0.00",,,"0.00"
"North and Central America","BLM","Saint Barthélemy","2015-2020",0,0,100,0,,"0.00",,,"0.00"
"FOREST EUROPE, Europe, UNECE","BLR","Belarus","1990-2000",0,100,0,0,"55.04","6.68","42.56","5.80","27.55"
"FOREST EUROPE, Europe, UNECE","BLR","Belarus","2000-2010",0,100,0,0,"33.31","6.99","19.12","7.20","34.52"
"FOREST EUROPE, Europe, UNECE","BLR","Belarus","2010-2015",0,100,0,0,"24.00","2.82","17.08","4.10","29.62"
"FOREST EUROPE, Europe, UNECE","BLR","Belarus","2015-2020",0,100,0,0,"30.32","1.77","25.05","3.50","37.24"
"North and Central America","BLZ","Belize","1990-2000",0,0,100,0,"0.00",,,"14.07",
"North and Central America","BLZ","Belize","2000-2010",0,0,100,0,"0.00",,,"6.79",
"North and Central America","BLZ","Belize","2010-2015",0,0,100,0,"0.00",,,"11.71",
"North and Central America","BLZ","Belize","2015-2020",0,0,100,0,"0.00",,,"11.16",
"North and Central America","BMU","Bermuda","1990-2000",0,0,0,100,,,,,
"North and Central America","BMU","Bermuda","2000-2010",0,0,0,100,,,,,
"North and Central America","BMU","Bermuda","2010-2015",0,0,0,100,,,,,
"North and Central America","BMU","Bermuda","2015-2020",0,0,0,100,,,,,
"South America","BOL","Bolivia (Plurinational State of)","1990-2000",0,0,100,0,"0.00",,,"270.33",
"South America","BOL","Bolivia (Plurinational State of)","2000-2010",0,0,100,0,"-1.49",,,"200.05",
"South America","BOL","Bolivia (Plurinational State of)","2010-2015",0,0,100,0,"-21.07",,,"190.69",
"South America","BOL","Bolivia (Plurinational State of)","2015-2020",0,0,100,0,"3.85",,,"242.54","3.00"
"International Tropical Timber Organization, South America","BRA","Brazil","1990-2000",0,0,97,3,"473.86",,,"4254.80","9.41"
