"regions","iso3","name","year","boreal","temperate","tropical","subtropical","1d_expansion","1d_afforestation","1d_nat_exp","1d_deforestation","1e_reforestation"
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain","2010-2015",0,32,0,68,"3.15","10.72",,"1.98","8.94"
"Europe, UNECE, EU-27, FOREST EUROPE, International Tropical Timber Organization","ESP","Spain","2015-2020",0,32,0,68,"7.94","4.66","3.28","3.74","7.69"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia","1990-2000",0,100,0,0,"3.49","0.70","2.79","0.19","6.20"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia","2000-2010",0,100,0,0,"16.05","3.21","12.84","6.34","9.16"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia","2010-2015",0,100,0,0,"28.23","5.64","22.58","11.23","11.61"
"FOREST EUROPE, EU-27, International Tropical Timber Organization, Europe, UNECE","EST","Estonia","2015-2020",0,100,0,0,"8.49","1.70","6.79","5.01","14.79"
"Africa","ETH","Ethiopia","1990-2000",0,0,100,0,"19.00",,,"92.00",
"Africa","ETH","Ethiopia","2000-2010",0,0,100,0,"19.00",,,"92.00",
"Africa","ETH","Ethiopia","2010-2015",0,0,100,0,"19.00",,,"92.00",
"Africa","ETH","Ethiopia","2015-2020",0,0,100,0,"19.00",,,"92.00",
"FOREST EUROPE, Europe, EU-27, UNECE, International Tropical Timber Organization","FIN","Finland","1990-2000","97.40","2.60","0.00","0.00","69.21","9.00","8.65","12.18","105.93"
"FOREST EUROPE, Europe, EU-27, UNECE, International Tropical Timber Organization","FIN","Finland","2000-2010","97.40","2.60","0.00","0.00","-18.27","1.01","0.19","2.09","122.09"
"FOREST EUROPE, Europe, EU-27, UNECE, International Tropical Timber Organization","FIN","Finland","2010-2015","97.40","2.60","0.00","0.00","33.94","4.02","1.16","0.54","122.44"
"FOREST EUROPE, Europe, EU-27, UNECE, International Tropical Timber Organization","FIN","Finland","2015-2020","97.40","2.60","0.00","0.00",,,,,"122.44"
"Oceania, International Tropical Timber Organization","FJI","Fiji","1990-2000",0,0,100,0,,,,,
"Oceania, International Tropical Timber Organization","FJI","Fiji","2000-2010",0,0,100,0,,,,,
"Oceania, International Tropical Timber Organization","FJI","Fiji","2010-2015",0,0,100,0,,,,,
"Oceania, International Tropical Timber Organization","FJI","Fiji","2015-2020",0,0,100,0,,,,,
"South America","FLK","Falkland Islands (Malvinas)","1990-2000",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"South America","FLK","Falkland Islands (Malvinas)","2000-2010",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"South America","FLK","Falkland Islands (Malvinas)","2010-2015",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"South America","FLK","Falkland Islands (Malvinas)","2015-2020",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"UNECE, EU-27, FOREST EUROPE, Europe, International Tropical Timber Organization","FRA","France","1990-2000","0.00","100.00","0.00","0.00",,,,,
"UNECE, EU-27, FOREST EUROPE, Europe, International Tropical Timber Organization","FRA","France","2000-2010","0.00","100.00","0.00","0.00",,,,,"35.00"
"UNECE, EU-27, FOREST EUROPE, Europe, International Tropical Timber Organization","FRA","France","2010-2015","0.00","100.00","0.00","0.00",,,,,"43.00"
"UNECE, EU-27, FOREST EUROPE, Europe, International Tropical Timber Organization","FRA","France","2015-2020","0.00","100.00","0.00","0.00",,,,,
"Europe","FRO","Faroe Islands","1990-2000",100,0,0,0,"0.00",,,"0.00",
"Europe","FRO","Faroe Islands","2000-2010",100,0,0,0,"0.00",,,"0.00",
"Europe","FRO","Faroe Islands","2010-2015",100,0,0,0,"0.00",,,"0.00",
"Europe","FRO","Faroe Islands","2015-2020",100,0,0,0,"0.00",,,"0.00",
"Oceania","FSM","Micronesia (Federated States of)","1990-2000",0,0,100,0,,,,,
"Oceania","FSM","Micronesia (Federated States of)","2000-2010",0,0,100,0,,,,,
"Oceania","FSM","Micronesia (Federated States of)","2010-2015",0,0,100,0,,,,,
"Oceania","FSM","Micronesia (Federated States of)","2015-2020",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa, Espace COMIFAC","GAB","Gabon","1990-2000",0,0,100,0,"4.13",,,"10.24",
"International Tropical Timber Organization, Africa, Espace COMIFAC","GAB","Gabon","2000-2010",0,0,100,0,"9.68",,,"14.74",
"International Tropical Timber Organization, Africa, Espace COMIFAC","GAB","Gabon","2010-2015",0,0,100,0,"7.37",,,"19.25",
"International Tropical Timber Organization, Africa, Espace COMIFAC","GAB","Gabon","2015-2020",0,0,100,0,"7.37",,,"19.25",
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","GBR","United Kingdom of Great Britain and Northern Ireland","1990-2000",14,86,0,0,,,,,"15.30"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","GBR","United Kingdom of Great Britain and Northern Ireland","2000-2010",14,86,0,0,"10.70",,,"0.20","16.00"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","GBR","United Kingdom of Great Britain and Northern Ireland","2010-2015",14,86,0,0,"19.70",,,"0.50","14.60"
"International Tropical Timber Organization, UNECE, FOREST EUROPE, Europe","GBR","United Kingdom of Great Britain and Northern Ireland","2015-2020",14,86,0,0,,,,,"15.00"
"Asia, FOREST EUROPE, UNECE","GEO","Georgia","1990-2000",0,62,0,38,"0.83","0.60","0.23","0.00","0.03"
"Asia, FOREST EUROPE, UNECE","GEO","Georgia","2000-2010",0,62,0,38,"6.18","4.97","1.20","0.00","0.07"
"Asia, FOREST EUROPE, UNECE","GEO","Georgia","2010-2015",0,62,0,38,"0.00","0.00","0.00","0.00","0.02"
"Asia, FOREST EUROPE, UNECE","GEO","Georgia","2015-2020",0,62,0,38,"0.00","0.00","0.00","0.00","0.05"
"Europe","GGY","Guernsey","1990-2000",0,100,0,0,,,,,
"Europe","GGY","Guernsey","2000-2010",0,100,0,0,,,,,
"Europe","GGY","Guernsey","2010-2015",0,100,0,0,,,,,
"Europe","GGY","Guernsey","2015-2020",0,100,0,0,,,,,
"International Tropical Timber Organization, Africa","GHA","Ghana","1990-2000",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","GHA","Ghana","2000-2010",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","GHA","Ghana","2010-2015",0,0,100,0,,,,,
"International Tropical Timber Organization, Africa","GHA","Ghana","2015-2020",0,0,100,0,,,,,
"Europe","GIB","Gibraltar","1990-2000",0,100,0,0,"0.00",,,"0.00","0.00"
"Europe","GIB","Gibraltar","2000-2010",0,100,0,0,"0.00",,,"0.00","0.00"
"Europe","GIB","Gibraltar","2010-2015",0,100,0,0,"0.00",,,"0.00","0.00"
"Europe","GIB","Gibraltar","2015-2020",0,100,0,0,"0.00",,,"0.00","0.00"
"Africa","GIN","Guinea","1990-2000",0,0,100,0,"12.00","12.00","0.00","46.70",
"Africa","GIN","Guinea","2000-2010",0,0,100,0,,,,,"0.91"
"Africa","GIN","Guinea","2010-2015",0,0,100,0,,,,,"0.32"
"Africa","GIN","Guinea","2015-2020",0,0,100,0,,,,,
"North and Central America","GLP","Guadeloupe","1990-2000",0,0,100,0,"0.16","0.00","0.16","0.25","0.00"
"North and Central America","GLP","Guadeloupe","2000-2010",0,0,100,0,"0.11","0.00","0.11","0.18","0.00"
"North and Central America","GLP","Guadeloupe","2010-2015",0,0,100,0,"0.39","0.00","0.39","0.26","0.00"
"North and Central America","GLP","Guadeloupe","2015-2020",0,0,100,0,"0.19","0.00","0.19","0.25","0.00"
"Africa","GMB","Gambia","1990-2000",0,0,100,0,,,,,
"Africa","GMB","Gambia","2000-2010",0,0,100,0,,,,,
"Africa","GMB","Gambia","2010-2015",0,0,100,0,,,,,
"Africa","GMB","Gambia","2015-2020",0,0,100,0,,,,,
"Africa","GNB","Guinea-Bissau","1990-2000",0,0,100,0,,,,,
"Africa","GNB","Guinea-Bissau","2000-2010",0,0,100,0,,,,,
"Africa","GNB","Guinea-Bissau","2010-2015",0,0,100,0,,,,,
"Africa","GNB","Guinea-Bissau","2015-2020",0,0,100,0,,,,,
"Africa, Espace COMIFAC","GNQ","Equatorial Guinea","1990-2000",0,0,100,0,,,,,
"Africa, Espace COMIFAC","GNQ","Equatorial Guinea","2000-2010",0,0,100,0,"0.00",,,"8.36",
"Africa, Espace COMIFAC","GNQ","Equatorial Guinea","2010-2015",0,0,100,0,"0.00",,,"8.36",
"Africa, Espace COMIFAC","GNQ","Equatorial Guinea","2015-2020",0,0,100,0,"0.00",,,"8.36",
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","GRC","Greece","1990-2000",0,11,0,89,,,,,
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","GRC","Greece","2000-2010",0,11,0,89,,,,,
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","GRC","Greece","2010-2015",0,11,0,89,,,,,
"EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE, Europe","GRC","Greece","2015-2020",0,11,0,89,,,,,
"North and Central America","GRD","Grenada","1990-2000",0,0,100,0,,,,,
"North and Central America","GRD","Grenada","2000-2010",0,0,100,0,,,,,
"North and Central America","GRD","Grenada","2010-2015",0,0,100,0,,,,,
"North and Central America","GRD","Grenada","2015-2020",0,0,100,0,,,,,
"North and Central America","GRL","Greenland","1990-2000",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"North and Central America","GRL","Greenland","2000-2010",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"North and Central America","GRL","Greenland","2010-2015",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"North and Central America","GRL","Greenland","2015-2020",100,0,0,0,"0.00","0.00","0.00","0.00","0.00"
"International Tropical Timber Organization, North and Central America","GTM","Guatemala","1990-2000",0,0,100,0,"0.00",,,"57.20","2.00"
"International Tropical Timber Organization, North and Central America","GTM","Guatemala","2000-2010",0,0,100,0,"0.00",,,"48.66","9.17"
"International Tropical Timber Organization, North and Central America","GTM","Guatemala","2010-2015",0,0,100,0,"0.00",,,"27.36","8.17"
"International Tropical Timber Organization, North and Central America","GTM","Guatemala","2015-2020",0,0,100,0,"0.00",,,"11.60","10.60"
"South America","GUF","French Guyana","1990-2000",0,0,100,0,"1.00",,"1.00","5.56","0.00"
"South America","GUF","French Guyana","2000-2010",0,0,100,0,"1.25",,"1.25","5.54","0.00"
"South America","GUF","French Guyana","2010-2015",0,0,100,0,"2.35",,"2.35","5.65","0.00"
"South America","GUF","French Guyana","2015-2020",0,0,100,0,"2.35",,"2.35","5.78","0.00"
"Oceania","GUM","Guam","1990-2000",0,0,100,0,,,,,
"Oceania","GUM","Guam","2000-2010",0,0,100,0,,,,,
"Oceania","GUM","Guam","2010-2015",0,0,100,0,,,,,
"Oceania","GUM","Guam","2015-2020",0,0,100,0,,,,,
"South America, International Tropical Timber Organization","GUY","Guyana","1990-2000",0,0,100,0,"0.00","0.00","0.00","3.79",
"South America, International Tropical Timber Organization","GUY","Guyana","2000-2010",0,0,100,0,"0.00","0.00","0.00","4.44",
"South America, International Tropical Timber Organization","GUY","Guyana","2010-2015",0,0,100,0,"0.00","0.00","0.00","11.69",
"South America, International Tropical Timber Organization","GUY","Guyana","2015-2020",0,0,100,0,"0.00","0.00","0.00","9.20",
"North and Central America, International Tropical Timber Organization","HND","Honduras","1990-2000",0,0,100,0,"2.35",,,"23.30",
"North and Central America, International Tropical Timber Organization","HND","Honduras","2000-2010",0,0,100,0,"2.53",,,"22.81",
"North and Central America, International Tropical Timber Organization","HND","Honduras","2010-2015",0,0,100,0,"2.07",,,"24.40","18.24"
"North and Central America, International Tropical Timber Organization","HND","Honduras","2015-2020",0,0,100,0,"2.28",,,"23.19","7.89"
"EU-27, Europe, UNECE, FOREST EUROPE, International Tropical Timber Organization","HRV","Croatia","1990-2000",0,88,0,12,"3.54","0.27","3.27","0.04","1.55"
"EU-27, Europe, UNECE, FOREST EUROPE, International Tropical Timber Organization","HRV","Croatia","2000-2010",0,88,0,12,"3.83","0.16","3.67","0.33","0.66"
"EU-27, Europe, UNECE, FOREST EUROPE, International Tropical Timber Organization","HRV","Croatia","2010-2015",0,88,0,12,"0.49","0.19","0.30","0.09","0.37"
"EU-27, Europe, UNECE, FOREST EUROPE, International Tropical Timber Organization","HRV","Croatia","2015-2020",0,88,0,12,"3.47","0.03","3.44","0.05","0.90"
"North and Central America","HTI","Haiti","1990-2000",0,0,100,0,,,,,
"North and Central America","HTI","Haiti","2000-2010",0,0,100,0,,,,,
"North and Central America","HTI","Haiti","2010-2015",0,0,100,0,,,,,
"North and Central America","HTI","Haiti","2015-2020",0,0,100,0,,,,,
"UNECE, International Tropical Timber Organization, Europe, FOREST EUROPE, EU-27","HUN","Hungary","1990-2000",0,100,0,0,"11.56","6.21","5.35","0.83","10.55"
"UNECE, International Tropical Timber Organization, Europe, FOREST EUROPE, EU-27","HUN","Hungary","2000-2010",0,100,0,0,"13.95","10.02","3.93","1.43","9.98"
"UNECE, International Tropical Timber Organization, Europe, FOREST EUROPE, EU-27","HUN","Hungary","2010-2015",0,100,0,0,"4.44","1.03","3.40","1.55","8.78"
"UNECE, International Tropical Timber Organization, Europe, FOREST EUROPE, EU-27","HUN","Hungary","2015-2020",0,100,0,0,"1.58","0.46","1.12","3.14","9.06"
"International Tropical Timber Organization, Asia","IDN","Indonesia","1990-2000","0.00","0.00","100.00","0.00","799.50",,,"2526.00","39.08"
"International Tropical Timber Organization, Asia","IDN","Indonesia","2000-2010","0.00","0.00","100.00","0.00","806.92",,,"969.00","132.84"
"International Tropical Timber Organization, Asia","IDN","Indonesia","2010-2015","0.00","0.00","100.00","0.00",,,,,"78.96"
"International Tropical Timber Organization, Asia","IDN","Indonesia","2015-2020","0.00","0.00","100.00","0.00","71.06",,,"650.00","7.07"
"Europe","IMN","Isle of Man","1990-2000",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","IMN","Isle of Man","2000-2010",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","IMN","Isle of Man","2010-2015",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","IMN","Isle of Man","2015-2020",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"International Tropical Timber Organization, Asia","IND","India","1990-2000","0.00","8.64","85.73","5.63","749.30",,,"384.00",
"International Tropical Timber Organization, Asia","IND","India","2000-2010","0.00","8.64","85.73","5.63","820.00",,,"629.50",
"International Tropical Timber Organization, Asia","IND","India","2010-2015","0.00","8.64","85.73","5.63","934.80",,,"668.40",
"International Tropical Timber Organization, Asia","IND","India","2015-2020","0.00","8.64","85.73","5.63","934.80",,,"668.40",
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE, EU-27","IRL","Ireland","1990-2000",0,100,0,0,"17.49","16.00","0.25","0.62","5.73"
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE, EU-27","IRL","Ireland","2000-2010",0,100,0,0,"9.62","8.13","0.25","0.62","8.31"
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE, EU-27","IRL","Ireland","2010-2015",0,100,0,0,"7.48","5.99","0.25","0.62","7.28"
"Europe, UNECE, International Tropical Timber Organization, FOREST EUROPE, EU-27","IRL","Ireland","2015-2020",0,100,0,0,"6.09","4.60","0.25","0.62","9.10"
"Asia","IRN","Iran (Islamic Republic of)","1990-2000",0,4,0,96,,,,,
"Asia","IRN","Iran (Islamic Republic of)","2000-2010",0,4,0,96,,,,,
"Asia","IRN","Iran (Islamic Republic of)","2010-2015",0,4,0,96,,,,,
"Asia","IRN","Iran (Islamic Republic of)","2015-2020",0,4,0,96,,,,,
"Asia","IRQ","Iraq","1990-2000",0,0,0,100,"1.40","0.00","1.40","0.00","0.00"
"Asia","IRQ","Iraq","2000-2010",0,0,0,100,"0.70","0.00","0.70","0.00","0.00"
"Asia","IRQ","Iraq","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"Asia","IRQ","Iraq","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","ISL","Iceland","1990-2000","100.00","0.00","0.00","0.00","1.28","1.23","0.04","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","ISL","Iceland","2000-2010","100.00","0.00","0.00","0.00","1.48","1.44","0.04","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","ISL","Iceland","2010-2015","100.00","0.00","0.00","0.00","0.70","0.66","0.04","0.00","0.00"
"FOREST EUROPE, Europe, UNECE","ISL","Iceland","2015-2020","100.00","0.00","0.00","0.00","0.64","0.60","0.04","0.00","0.00"
"UNECE, Asia","ISR","Israel","1990-2000",0,0,1,99,,,,,
"UNECE, Asia","ISR","Israel","2000-2010",0,0,1,99,,,,,"0.39"
"UNECE, Asia","ISR","Israel","2010-2015",0,0,1,99,,"0.83",,,"0.41"
"UNECE, Asia","ISR","Israel","2015-2020",0,0,1,99,,"0.35",,,"0.24"
"Europe, EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE","ITA","Italy","1990-2000",0,32,0,68,,"14.88",,,"6.70"
"Europe, EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE","ITA","Italy","2000-2010",0,32,0,68,,"8.15",,,"6.00"
"Europe, EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE","ITA","Italy","2010-2015",0,32,0,68,"57.50","6.84","50.65","3.69","5.70"
"Europe, EU-27, FOREST EUROPE, International Tropical Timber Organization, UNECE","ITA","Italy","2015-2020",0,32,0,68,,,,,
"North and Central America","JAM","Jamaica","1990-2000",0,0,100,0,"0.86","0.00","0.86","0.89","1.24"
"North and Central America","JAM","Jamaica","2000-2010",0,0,100,0,"4.42","0.01","4.41","0.68","1.46"
"North and Central America","JAM","Jamaica","2010-2015",0,0,100,0,"4.42","0.01","4.30","0.62","1.30"
"North and Central America","JAM","Jamaica","2015-2020",0,0,100,0,"4.43","0.01","3.53","0.54","0.71"
"Europe","JEY","Jersey","1990-2000",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","JEY","Jersey","2000-2010",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","JEY","Jersey","2010-2015",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Europe","JEY","Jersey","2015-2020",0,100,0,0,"0.00","0.00","0.00","0.00","0.00"
"Asia","JOR","Jordan","1990-2000",0,0,0,100,,,,,
"Asia","JOR","Jordan","2000-2010",0,0,0,100,,,,,
"Asia","JOR","Jordan","2010-2015",0,0,0,100,,,,,
"Asia","JOR","Jordan","2015-2020",0,0,0,100,,,,,
"Montreal Process, International Tropical Timber Organization, Asia","JPN","Japan","1990-2000",0,50,0,50,,,,,"50.41"
"Montreal Process, International Tropical Timber Organization, Asia","JPN","Japan","2000-2010",0,50,0,50,,,,,"30.25"
"Montreal Process, International Tropical Timber Organization, Asia","JPN","Japan","2010-2015",0,50,0,50,,,,,"25.05"
"Montreal Process, International Tropical Timber Organization, Asia","JPN","Japan","2015-2020",0,50,0,50,,,,,"26.11"
"UNECE, Asia","KAZ","Kazakhstan","1990-2000",12,88,0,0,,,,,"15.30"
"UNECE, Asia","KAZ","Kazakhstan","2000-2010",12,88,0,0,,,,,"25.50"
"UNECE, Asia","KAZ","Kazakhstan","2010-2015",12,88,0,0,,,,,"28.50"
"UNECE, Asia","KAZ","Kazakhstan","2015-2020",12,88,0,0,,,,,"28.50"
"Africa","KEN","Kenya","1990-2000",0,0,100,0,,,,,
"Africa","KEN","Kenya","2000-2010",0,0,100,0,,,,,
"Africa","KEN","Kenya","2010-2015",0,0,100,0,,,,,
"Africa","KEN","Kenya","2015-2020",0,0,100,0,,,,,
"Asia, UNECE","KGZ","Kyrgyzstan","1990-2000",0,100,0,0,"4.45","2.15","2.30","0.00","3.90"
"Asia, UNECE","KGZ","Kyrgyzstan","2000-2010",0,100,0,0,"4.88","2.88","2.00","0.00","1.00"
"Asia, UNECE","KGZ","Kyrgyzstan","2010-2015",0,100,0,0,"4.43","2.43","2.00","0.00","0.60"
"Asia, UNECE","KGZ","Kyrgyzstan","2015-2020",0,100,0,0,"12.71","3.80","8.91","0.00","1.80"
"Asia, International Tropical Timber Organization","KHM","Cambodia","1990-2000",0,0,100,0,,,,,"3.26"
"Asia, International Tropical Timber Organization","KHM","Cambodia","2000-2010",0,0,100,0,,,,,"5.46"
"Asia, International Tropical Timber Organization","KHM","Cambodia","2010-2015",0,0,100,0,,,,,"83.08"
"Asia, International Tropical Timber Organization","KHM","Cambodia","2015-2020",0,0,100,0,,,,,"37.58"
"Oceania","KIR","Kiribati","1990-2000",0,0,100,0,,,,,
"Oceania","KIR","Kiribati","2000-2010",0,0,100,0,,,,,
"Oceania","KIR","Kiribati","2010-2015",0,0,100,0,,,,,
"Oceania","KIR","Kiribati","2015-2020",0,0,100,0,,,,,
"North and Central America","KNA","Saint Kitts and Nevis","1990-2000",0,0,100,0,,,,,
"North and Central America","KNA","Saint Kitts and Nevis","2000-2010",0,0,100,0,,,,,
"North and Central America","KNA","Saint Kitts and Nevis","2010-2015",0,0,100,0,,,,,
"North and Central America","KNA","Saint Kitts and Nevis","2015-2020",0,0,100,0,,,,,
"International Tropical Timber Organization, Asia, Montreal Process","KOR","Republic of Korea","1990-2000",0,88,0,12,"0.00",,,"7.50","28.00"
"International Tropical Timber Organization, Asia, Montreal Process","KOR","Republic of Korea","2000-2010",0,88,0,12,"0.00",,,"8.90","21.00"
"International Tropical Timber Organization, Asia, Montreal Process","KOR","Republic of Korea","2010-2015",0,88,0,12,"0.00",,,"10.00","22.00"
"International Tropical Timber Organization, Asia, Montreal Process","KOR","Republic of Korea","2015-2020",0,88,0,12,"0.00",,,"10.00","25.00"
"Asia","KWT","Kuwait","1990-2000",0,0,0,100,"0.14","0.14","0.00","0.00",
"Asia","KWT","Kuwait","2000-2010",0,0,0,100,"0.14","0.14","0.00","0.00",
"Asia","KWT","Kuwait","2010-2015",0,0,0,100,"0.00","0.00","0.00","0.00",
"Asia","KWT","Kuwait","2015-2020",0,0,0,100,"0.00","0.00","0.00","0.00",
"Asia","LAO","Lao People's Democratic Republic","1990-2000",0,0,100,0,,,,,
"Asia","LAO","Lao People's Democratic Republic","2000-2010",0,0,100,0,,,,,
"Asia","LAO","Lao People's Democratic Republic","2010-2015",0,0,100,0,,,,,
"Asia","LAO","Lao People's Democratic Republic","2015-2020",0,0,100,0,,,,,
"Asia","LBN","Lebanon","1990-2000",0,0,0,100,,,,,
"Asia","LBN","Lebanon","2000-2010",0,0,0,100,,,,,"0.68"
"Asia","LBN","Lebanon","2010-2015",0,0,0,100,,,,,"1.21"
"Asia","LBN","Lebanon","2015-2020",0,0,0,100,,,,,"2.43"
"International Tropical Timber Organization, Africa","LBR","Liberia","1990-2000",0,0,100,0,"0.00",,,"30.26",
"International Tropical Timber Organization, Africa","LBR","Liberia","2000-2010",0,0,100,0,"0.00",,,"30.26",
"International Tropical Timber Organization, Africa","LBR","Liberia","2010-2015",0,0,100,0,"0.00",,,"30.26",
"International Tropical Timber Organization, Africa","LBR","Liberia","2015-2020",0,0,100,0,"0.00",,,"30.26",
"Africa","LBY","Libya","1990-2000",0,0,0,100,,,,,
"Africa","LBY","Libya","2000-2010",0,0,0,100,,,,,
"Africa","LBY","Libya","2010-2015",0,0,0,100,,,,,
"Africa","LBY","Libya","2015-2020",0,0,0,100,,,,,
"North and Central America","LCA","Saint Lucia","1990-2000",0,0,100,0,,,,,
"North and Central America","LCA","Saint Lucia","2000-2010",0,0,100,0,,,,,
"North and Central America","LCA","Saint Lucia","2010-2015",0,0,100,0,,,,,
"North and Central America","LCA","Saint Lucia","2015-2020",0,0,100,0,,,,,
"Europe, UNECE, FOREST EUROPE","LIE","Liechtenstein","1990-2000",0,100,0,0,"0.21","0.03",,"0.21","0.00"
"Europe, UNECE, FOREST EUROPE","LIE","Liechtenstein","2000-2010",0,100,0,0,"0.21","0.03",,"0.21","0.00"
"Europe, UNECE, FOREST EUROPE","LIE","Liechtenstein","2010-2015",0,100,0,0,"0.21","0.03",,"0.21","0.00"
"Europe, UNECE, FOREST EUROPE","LIE","Liechtenstein","2015-2020",0,100,0,0,"0.21","0.03",,"0.21","0.00"
"Asia","LKA","Sri Lanka","1990-2000",0,0,100,0,,,,,"0.88"
"Asia","LKA","Sri Lanka","2000-2010",0,0,100,0,,,,,"0.79"
"Asia","LKA","Sri Lanka","2010-2015",0,0,100,0,,,,,"0.84"
"Asia","LKA","Sri Lanka","2015-2020",0,0,100,0,,,,,"0.83"
"Africa","LSO","Lesotho","1990-2000",0,0,0,100,,,,,
"Africa","LSO","Lesotho","2000-2010",0,0,0,100,,,,,
"Africa","LSO","Lesotho","2010-2015",0,0,0,100,,,,,
"Africa","LSO","Lesotho","2015-2020",0,0,0,100,,,,,
"UNECE, FOREST EUROPE, International Tropical Timber Organization, EU-27, Europe","LTU","Lithuania","1990-2000",0,100,0,0,,,,,
"UNECE, FOREST EUROPE, International Tropical Timber Organization, EU-27, Europe","LTU","Lithuania","2000-2010",0,100,0,0,"15.14","2.00","13.14","0.14","15.75"
"UNECE, FOREST EUROPE, International Tropical Timber Organization, EU-27, Europe","LTU","Lithuania","2010-2015",0,100,0,0,"3.54","3.16","0.38","0.14","19.12"
"UNECE, FOREST EUROPE, International Tropical Timber Organization, EU-27, Europe","LTU","Lithuania","2015-2020",0,100,0,0,"2.94","2.07","0.87","0.14","18.63"
"FOREST EUROPE, UNECE, EU-27, International Tropical Timber Organization, Europe","LUX","Luxembourg","1990-2000",0,100,0,0,,,"0.09",,
"FOREST EUROPE, UNECE, EU-27, International Tropical Timber Organization, Europe","LUX","Luxembourg","2000-2010",0,100,0,0,,,"0.20",,"0.26"
"FOREST EUROPE, UNECE, EU-27, International Tropical Timber Organization, Europe","LUX","Luxembourg","2010-2015",0,100,0,0,,,"0.00",,"0.26"
"FOREST EUROPE, UNECE, EU-27, International Tropical Timber Organization, Europe","LUX","Luxembourg","2015-2020",0,100,0,0,,,"0.00",,"0.26"
"International Tropical Timber Organization, Europe, UNECE, EU-27, FOREST EUROPE","LVA","Latvia","1990-2000",0,100,0,0,"6.80","0.00","6.80","0.00","6.74"
"International Tropical Timber Organization, Europe, UNECE, EU-27, FOREST EUROPE","LVA","Latvia","2000-2010",0,100,0,0,"13.51","1.44","12.07","0.40","10.59"
"International Tropical Timber Organization, Europe, UNECE, EU-27, FOREST EUROPE","LVA","Latvia","2010-2015",0,100,0,0,"4.17","2.13","2.04","0.31","13.24"
"International Tropical Timber Organization, Europe, UNECE, EU-27, FOREST EUROPE","LVA","Latvia","2015-2020",0,100,0,0,"4.23","1.95","2.28","0.36","12.79"
"North and Central America","MAF","Saint-Martin (French Part)","1990-2000",0,0,100,0,,,,,"0.00"
"North and Central America","MAF","Saint-Martin (French Part)","2000-2010",0,0,100,0,,,,,"0.00"
"North and Central America","MAF","Saint-Martin (French Part)","2010-2015",0,0,100,0,,,,,"0.00"
"North and Central America","MAF","Saint-Martin (French Part)","2015-2020",0,0,100,0,,,,,"0.00"
"Africa","MAR","Morocco","1990-2000",0,0,0,100,"2.90","2.90","0.00","0.78","13.56"
"Africa","MAR","Morocco","2000-2010",0,0,0,100,"17.88","17.88","0.00","1.08","19.01"
"Africa","MAR","Morocco","2010-2015",0,0,0,100,"10.74","10.88","0.00","8.72","34.99"
"Africa","MAR","Morocco","2015-2020",0,0,0,100,"11.56","11.56","0.00","0.00","27.01"
"FOREST EUROPE, Europe, UNECE","MCO","Monaco","1990-2000",0,0,0,100,"0.00","0.00","0.00","0.00","0.00"
